,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
6241,011301.OF,易方达智造优势C,易方达基金,招商银行,混合型,20210126,,,20210122,,17.326,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,L,混合型,契约型开放式,,20210326,20210326,O
6242,011413.OF,富国安益B,富国基金,中国工商银行,货币市场型,20210126,,,,,,0.14,0.05,,1.0,,,活期存款利率(税后),L,货币型,契约型开放式,,20210126,20210126,O
6243,011159.OF,大成中小盘C,大成基金,中国银行,混合型,20210126,,,,,,1.5,0.25,,1.0,,,中证700指数收益率*60%+恒生指数收益率*20%+中证综合债券指数收益率*20%,L,混合型,契约型开放式,,20210126,20210126,O
6244,011026.OF,九泰久元量化C,九泰基金,宁波银行,股票型,20210126,20220214,,20201223,,1.8071,1.5,0.15,,1.0,0.0001,,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,D,股票型,契约型开放式,,20210226,20210226,O
6245,011189.OF,建信智汇优选一年持有,建信基金,交通银行,混合型,20210126,,,20210120,,27.0045,1.5,0.15,,1.0,0.001,,中证800指数收益率*50%+中债综合财富指数收益率*40%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210219,20220126,O
6246,011321.OF,国泰大健康C,国泰基金,中国建设银行,股票型,20210126,,,,,,1.5,0.25,,1.0,,,中证健康产业指数收益率*80%+中证综合债指数收益率*20%,L,股票型,契约型开放式,,20210126,20210126,O
6247,159843.SZ,食品饮料ETF,招商基金,申万宏源证券,股票型,20210125,,20210205,20210106,,7.0196,0.5,0.1,,1.0,0.1,,国证食品饮料行业指数收益率,L,被动指数型,契约型开放式,,20210205,20210205,E
6248,011207.OF,创金合信竞争优势C,创金合信基金,浦发银行,混合型,20210125,,,20210105,,5.5274,0.8,0.1,,1.0,0.001,,沪深300指数收益率*70%+中债综合指数收益率*30%,L,混合型,契约型开放式,,20210219,20210219,O
6249,011206.OF,创金合信竞争优势A,创金合信基金,浦发银行,混合型,20210125,,,20210105,,25.0278,0.8,0.1,,1.0,0.001,,沪深300指数收益率*70%+中债综合指数收益率*30%,L,混合型,契约型开放式,,20210219,20210219,O
6250,011424.OF,汇添富外延增长主题C,汇添富基金,中国工商银行,股票型,20210125,,,,,,1.5,0.25,,1.0,,,沪深300指数*80%+中债综合指数*20%,L,股票型,契约型开放式,,20210125,20210125,O
6251,010966.OF,富国成长领航,富国基金,中国农业银行,混合型,20210125,,,20210121,,80.0,1.5,0.25,,1.0,0.001,,中证800指数收益率*60%+中债综合全价指数收益率*30%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20210325,20210325,O
6252,011323.OF,国泰智能汽车C,国泰基金,中国农业银行,股票型,20210125,,,,,,1.5,0.25,,1.0,,,中证新能源汽车指数收益率*80%+中证综合债指数收益率*20%,L,股票型,契约型开放式,,20210125,20210126,O
6253,517050.SH,互联网50ETF,华泰柏瑞基金,中信建投证券,股票型,20210125,,20210208,20210119,,14.3161,0.5,0.1,,1.0,0.1,,中证沪港深互联网指数收益率,L,被动指数型,契约型开放式,,20210208,20210208,E
6254,011322.OF,国泰智能装备C,国泰基金,中国银行,股票型,20210125,,,,,,1.5,0.25,,1.0,,,中证高端装备制造指数收益率*80%+中证综合债指数收益率*20%,L,股票型,契约型开放式,,20210125,20210125,O
6255,011022.OF,汇添富互联网核心资产六个月持有C,汇添富基金,中国银行,混合型,20210125,,,20210120,,7.4688,1.5,0.25,,1.0,0.001,,恒生指数收益率(使用估值汇率折算)*30%+中证互联网指数收益率*25%+中证消费服务领先指数收益率*25%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20210419,20210726,O
6256,517200.SH,互联网ETF,嘉实基金,中国建设银行,股票型,20210125,,20210208,20210119,,3.0978,0.5,0.1,,1.0,0.1,,中证沪港深互联网指数,L,被动指数型,契约型开放式,,20210208,20210208,E
6257,011021.OF,汇添富互联网核心资产六个月持有A,汇添富基金,中国银行,混合型,20210125,,,20210120,,58.2681,1.5,0.25,,1.0,0.001,,恒生指数收益率(使用估值汇率折算)*30%+中证互联网指数收益率*25%+中证消费服务领先指数收益率*25%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20210419,20210726,O
6258,010898.OF,银河产业动力,银河基金,北京银行,混合型,20210125,,,20210111,,26.1742,1.5,0.25,,1.0,0.001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20210301,20210301,O
6259,159856.SZ,互联网龙头ETF,工银瑞信基金,国信证券,股票型,20210122,,20210201,20210119,,7.4137,0.45,0.07,,1.0,0.1,,中证沪港深互联网指数收益率,L,被动指数型,契约型开放式,,20210201,20210201,E
6260,010378.OF,广发价值核心C,广发基金,招商银行,混合型,20210122,,,20210120,,13.3638,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*40%+人民币计价的恒生指数收益率*40%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20210222,20210222,O
6261,011223.OF,信澳星奕C,信达澳亚基金,交通银行,混合型,20210122,,,20210120,,6.0463,1.5,0.25,,1.0,0.001,,中证800指数收益率*90%+中证港股通综合指数收益率*5%+中债综合财富(总值)指数收益率*5%,L,混合型,契约型开放式,,20210329,20210329,O
6262,516160.SH,新能源ETF,南方基金,中国农业银行,股票型,20210122,,20210204,20210114,,20.388,0.15,0.05,,1.0,0.1,,中证新能源指数收益率,L,被动指数型,契约型开放式,,20210204,20210204,E
6263,011319.OF,国泰上证综合ETF联接A,国泰基金,上海银行,股票型,20210122,,,20210120,,0.1084,0.5,0.1,,1.0,0.0001,,上证综合指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210203,20210203,O
6264,011188.OF,信澳星奕A,信达澳亚基金,交通银行,混合型,20210122,,,20210120,,43.4588,1.5,0.25,,1.0,0.001,,中证800指数收益率*90%+中证港股通综合指数收益率*5%+中债综合财富(总值)指数收益率*5%,L,混合型,契约型开放式,,20210329,20210329,O
6265,010377.OF,广发价值核心A,广发基金,招商银行,混合型,20210122,,,20210120,,62.8284,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*40%+人民币计价的恒生指数收益率*40%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20210222,20210222,O
6266,010769.OF,天弘中证农业主题A,天弘基金,国泰君安,股票型,20210122,,,20201229,,0.3378,0.5,0.1,,1.0,0.001,,中证农业主题指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210201,20210201,O
6267,010770.OF,天弘中证农业主题C,天弘基金,国泰君安,股票型,20210122,,,20201229,,1.6677,0.5,0.1,,1.0,0.001,,中证农业主题指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210201,20210201,O
6268,010700.OF,东方红锦丰优选两年定开,东证资管,中国建设银行,混合型,20210122,,,20210107,,15.0882,0.7,0.2,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率估值调整)*5%,L,混合型,契约型开放式,,,,O
6269,011320.OF,国泰上证综合ETF联接C,国泰基金,上海银行,股票型,20210122,,,20210120,,0.0127,0.5,0.1,,1.0,0.0001,,上证综合指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210203,20210203,O
6270,516050.SH,科技龙头ETF,工银瑞信基金,中信证券,股票型,20210121,,20210205,20210104,,12.2423,0.45,0.07,,1.0,0.1,,中证科技龙头指数收益率,L,被动指数型,契约型开放式,,20210205,20210205,E
6271,010902.OF,博时成长领航A,博时基金,平安银行,混合型,20210121,,,20210118,,100.7469,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+中债综合财富(总值)指数收益率*35%+中证港股通综合指数收益率*15%,L,灵活配置型,契约型开放式,,20210421,20210421,O
6272,530014.OF,建信利率债,建信基金,中国工商银行,债券型,20210121,,,20210121,,,0.3,0.05,,1.0,,,中债-国债及政策性银行债指数收益率,L,债券型,契约型开放式,,20210121,20210121,O
6273,011240.OF,东吴行业轮动C,东吴基金,华夏银行,混合型,20210121,,,,,,1.5,0.25,,1.0,,,沪深300指数*75%+中证全债指数*25%,L,混合型,契约型开放式,,20210121,20210121,O
6274,011241.OF,东吴价值成长C,东吴基金,中国农业银行,混合型,20210121,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*80%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20210121,20210121,O
6275,010903.OF,博时成长领航C,博时基金,平安银行,混合型,20210121,,,20210118,,18.1906,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+中债综合财富(总值)指数收益率*35%+中证港股通综合指数收益率*15%,L,灵活配置型,契约型开放式,,20210421,20210421,O
6276,008659.OF,中邮淳享66个月定开债,中邮基金,兴业银行,债券型,20210121,,,20210104,,79.9999,0.15,0.05,,1.0,0.01,,该封闭期起始日公布的三年期定期存款利率(税后)+1.5%,L,债券型,契约型开放式,,,,O
6277,515910.SH,质量ETF,中金基金,招商证券,股票型,20210121,,20210226,20201225,,5.2451,0.3,0.05,,1.0,0.1,,MSCI中国A股国际质量指数收益率,L,被动指数型,契约型开放式,,20210226,20210226,E
6278,010754.OF,招商沪港深科技创新C,招商基金,中国银行,混合型,20210121,,,,,,0.6,0.1,,1.0,,,沪深300指数收益率*40%+中债综合指数收益率*40%+恒生综合指数收益率*20%,L,灵活配置型,契约型开放式,,20210121,20210121,O
6279,010854.OF,汇添富沪深300基本面增强A,汇添富基金,中国工商银行,股票型,20210120,,,20210104,,97.1017,1.5,0.25,,1.0,0.001,,沪深300指数收益率*95%+活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210315,20210315,O
6280,011177.OF,博时汇融回报一年持有A,博时基金,江苏银行,混合型,20210120,,,20210118,,41.1377,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+中债综合财富(总值)指数收益率*20%+恒生综合指数收益率*10%,L,混合型,契约型开放式,,20210426,20220120,O
6281,010798.OF,长城优选回报六个月持有C,长城基金,中国银行,混合型,20210120,,,20201228,,1.0648,0.8,0.2,,1.0,0.001,,中债综合财富指数收益率*75%+中证700指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20210315,20210721,O
6282,010893.OF,中银证券精选行业C,中银证券,中国农业银行,股票型,20210120,,,20210113,,0.6239,1.5,0.25,,1.0,0.001,,沪深300指数收益率*85%+中债综合全价指数收益率*15%,L,股票型,契约型开放式,,20210409,20210409,O
6283,010992.OF,西藏东财中证500A,西藏东财基金,中金公司,股票型,20210120,,,20210104,,2.6664,0.5,0.05,,1.0,0.0001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210219,20210219,O
6284,010219.OF,汇添富稳健添益一年持有期,汇添富基金,中国农业银行,混合型,20210120,,,20210111,,41.1276,0.6,0.15,,1.0,0.001,,中债综合指数收益率*85%+沪深300指数收益率*8%+恒生指数收益率(经汇率调整)*7%,L,混合型,契约型开放式,,20210420,20220120,O
6285,010993.OF,西藏东财中证500C,西藏东财基金,中金公司,股票型,20210120,,,20210104,,1.3858,0.5,0.05,,1.0,0.0001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210219,20210219,O
6286,010899.OF,上银慧恒收益增强A,上银基金,兴业银行,债券型,20210120,,,20201228,,5.2215,0.6,0.1,,1.0,0.001,,中债综合全价指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20210419,20210419,O
6287,010615.OF,国金自主创新A,国金基金,中国民生银行,混合型,20210120,,,20210104,,6.5361,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20210420,20210420,O
6288,010764.OF,九泰锐升,九泰基金,浙商银行,混合型,20210120,,,20201228,,3.3135,1.5,0.2,,1.0,0.001,,中证500指数收益率*80%+商业银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,20220720,20220720,O
6289,010595.OF,广发成长精选A,广发基金,中国建设银行,混合型,20210120,,,20210118,,112.9152,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中证全债指数收益率*25%+人民币计价的恒生指数收益率*10%,L,混合型,契约型开放式,,20210322,20210322,O
6290,010904.OF,博时双季鑫6个月持有A,博时基金,中信银行,混合型,20210120,,,20201209,,1.7823,0.5,0.1,,1.0,0.001,,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+恒生综合指数收益率(使用估值汇率调整)*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210420,20210720,O
6291,011230.OF,创金合信数字经济主题C,创金合信基金,交通银行,股票型,20210120,,,20210113,,0.1086,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+中证互联网指数收益率*20%+中证港股通科技指数收益率*20%+银行活期存款利率(税后)*10%,L,股票型,契约型开放式,,20210208,20210208,O
6292,011229.OF,创金合信数字经济主题A,创金合信基金,交通银行,股票型,20210120,,,20210113,,0.1472,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+中证互联网指数收益率*20%+中证港股通科技指数收益率*20%+银行活期存款利率(税后)*10%,L,股票型,契约型开放式,,20210208,20210208,O
6293,010892.OF,中银证券精选行业A,中银证券,中国农业银行,股票型,20210120,,,20210113,,21.6147,1.5,0.25,,1.0,0.001,,沪深300指数收益率*85%+中债综合全价指数收益率*15%,L,股票型,契约型开放式,,20210409,20210409,O
6294,010596.OF,广发成长精选C,广发基金,中国建设银行,混合型,20210120,,,20210118,,5.8717,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中证全债指数收益率*25%+人民币计价的恒生指数收益率*10%,L,混合型,契约型开放式,,20210322,20210322,O
6295,010609.OF,华泰柏瑞质量领先C,华泰柏瑞基金,中国银行,混合型,20210120,,,20210118,,7.0974,1.5,0.25,,1.0,0.0001,,中证800指数收益率*75%+恒生指数收益率(使用估值汇率折算)*15%+上证国债指数收益率*10%,L,混合型,契约型开放式,,20210409,20210409,O
6296,010616.OF,国金自主创新C,国金基金,中国民生银行,混合型,20210120,,,20210104,,10.2914,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20210420,20210420,O
6297,010120.OF,九泰久福量化A,九泰基金,兴业银行,股票型,20210120,,,20210104,,2.4422,1.5,0.25,,1.0,0.0001,,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,L,股票型,契约型开放式,,20210419,20210419,O
6298,010797.OF,长城优选回报六个月持有A,长城基金,中国银行,混合型,20210120,,,20201228,,12.4552,0.8,0.2,,1.0,0.001,,中债综合财富指数收益率*75%+中证700指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20210315,20210721,O
6299,011168.OF,嘉实睿享安久双利18个月持有,嘉实基金,招商银行,债券型,20210120,,,20210112,,3.046,0.7,0.15,,1.0,0.0001,,中债新综合财富指数收益率*85%+中证800指数收益率*10%+恒生指数收益率*5%(人民币计价),L,债券型,契约型开放式,,20220104,20220720,O
6300,010905.OF,博时双季鑫6个月持有C,博时基金,中信银行,混合型,20210120,,,20201209,,1.6129,0.5,0.1,,1.0,0.001,,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+恒生综合指数收益率(使用估值汇率调整)*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210420,20210720,O
6301,010976.OF,华商鸿盈87个月定开债,华商基金,中国光大银行,债券型,20210120,,,20201221,,60.001,0.15,0.05,,1.0,0.0001,,该封闭期起始日中国人民银行公布的三年定期存款基准利率(税后)+0.5%,L,债券型,契约型开放式,,,,O
6302,010608.OF,华泰柏瑞质量领先A,华泰柏瑞基金,中国银行,混合型,20210120,,,20210118,,72.1124,1.5,0.25,,1.0,0.0001,,中证800指数收益率*75%+恒生指数收益率(使用估值汇率折算)*15%+上证国债指数收益率*10%,L,混合型,契约型开放式,,20210409,20210409,O
6303,010414.OF,财通资管宸瑞一年持有C,财通证券资管,中国农业银行,混合型,20210120,,,20210104,,2.1224,1.5,0.25,,1.0,0.001,,沪深300指数收益率*75%+中债综合指数收益率*25%,L,混合型,契约型开放式,,20210420,20220120,O
6304,010924.OF,博时双季鑫6个月持有B,博时基金,中信银行,混合型,20210120,,,20201209,,0.1051,0.5,0.1,,1.0,0.001,,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+恒生综合指数收益率(使用估值汇率调整)*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210420,20210720,O
6305,010121.OF,九泰久福量化C,九泰基金,兴业银行,股票型,20210120,,,20210104,,0.2077,1.5,0.25,,1.0,0.0001,,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,L,股票型,契约型开放式,,20210419,20210419,O
6306,010855.OF,汇添富沪深300基本面增强C,汇添富基金,中国工商银行,股票型,20210120,,,20210104,,5.6014,1.5,0.25,,1.0,0.001,,沪深300指数收益率*95%+活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210315,20210315,O
6307,011178.OF,博时汇融回报一年持有C,博时基金,江苏银行,混合型,20210120,,,20210118,,0.2709,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+中债综合财富(总值)指数收益率*20%+恒生综合指数收益率*10%,L,混合型,契约型开放式,,20210426,20220120,O
6308,010413.OF,财通资管宸瑞一年持有A,财通证券资管,中国农业银行,混合型,20210120,,,20210104,,19.1332,1.5,0.25,,1.0,0.001,,沪深300指数收益率*75%+中债综合指数收益率*25%,L,混合型,契约型开放式,,20210420,20220120,O
6309,010849.OF,易方达竞争优势企业C,易方达基金,交通银行,混合型,20210120,,,20210118,,20.327,1.5,0.25,,1.0,0.0001,,MSCI中国A股指数收益率*70%+中证港股通综合指数收益率*15%+中债总指数收益率*15%,L,混合型,契约型开放式,,20210226,20210226,O
6310,010198.OF,易方达竞争优势企业A,易方达基金,交通银行,混合型,20210120,,,20210118,,128.1666,1.5,0.25,,1.0,0.0001,,MSCI中国A股指数收益率*70%+中证港股通综合指数收益率*15%+中债总指数收益率*15%,L,混合型,契约型开放式,,20210226,20210226,O
6311,010780.OF,西部利得量化优选一年持有C,西部利得基金,中国光大银行,混合型,20210119,,,20201225,,1.3652,1.5,0.2,,1.0,0.001,,中证500指数收益率*75%+中债综合全价(总值)指数收益率*25%,L,混合型,契约型开放式,,20210126,20220119,O
6312,010178.OF,大成企业能力驱动A,大成基金,中国农业银行,混合型,20210119,,,20210114,,78.6483,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证综合债券指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210401,20210401,O
6313,011174.OF,中庚价值品质一年持有,中庚基金,平安银行,混合型,20210119,,,20210111,,27.9511,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+中证港股通综合指数(人民币)收益率*25%+中证全债指数收益率*25%,L,混合型,契约型开放式,,20210416,20220119,O
6314,010761.OF,华商甄选回报A,华商基金,中国银行,混合型,20210119,,,20210114,,56.9772,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证全债指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20210324,20210324,O
6315,010041.OF,嘉实港股优势A,嘉实基金,中国工商银行,混合型,20210119,,,20210115,,69.4873,1.5,0.25,,1.0,0.0001,,恒生指数收益率(使用估值汇率折算)*70%+沪深300指数收益率*15%+中债综合财富指数收益率*15%,L,混合型,契约型开放式,,20210416,20210416,O
6316,970015.OF,申万宏源红利成长,申万宏源证券,中国建设银行,混合型,20210119,,,20210119,,,1.2,0.15,,1.0,,,沪深300指数*60%+上证国债指数*40%,L,灵活配置型,契约型开放式,,20210318,20210318,O
6317,010956.OF,天弘中证智能汽车C,天弘基金,海通证券,股票型,20210119,,,20210104,,6.4916,0.5,0.1,,1.0,0.001,,中证智能汽车主题指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210126,20210126,O
6318,010042.OF,嘉实港股优势C,嘉实基金,中国工商银行,混合型,20210119,,,20210115,,9.7423,1.5,0.25,,1.0,0.0001,,恒生指数收益率(使用估值汇率折算)*70%+沪深300指数收益率*15%+中债综合财富指数收益率*15%,L,混合型,契约型开放式,,20210416,20210416,O
6319,010955.OF,天弘中证智能汽车A,天弘基金,海通证券,股票型,20210119,,,20210104,,1.0651,0.5,0.1,,1.0,0.001,,中证智能汽车主题指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210126,20210126,O
6320,010179.OF,大成企业能力驱动C,大成基金,中国农业银行,混合型,20210119,,,20210114,,1.3517,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证综合债券指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210401,20210401,O
6321,010779.OF,西部利得量化优选一年持有A,西部利得基金,中国光大银行,混合型,20210119,,,20201225,,2.6615,1.5,0.2,,1.0,0.001,,中证500指数收益率*75%+中债综合全价(总值)指数收益率*25%,L,混合型,契约型开放式,,20210126,20220119,O
6322,010845.OF,泰达宏利波控回报12个月持有,泰达宏利基金,中国农业银行,混合型,20210119,,,20201221,,20.1023,0.8,0.2,,1.0,0.0001,,中债综合指数收益率*85%+中证800指数收益率*10%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210204,20220119,O
6323,970018.OF,方正证券金港湾A,方正证券,华夏银行,债券型,20210118,,,20210118,,,0.5,0.2,,1.0,,,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,,20210201,O
6324,970019.OF,方正证券金港湾C,方正证券,华夏银行,债券型,20210118,,,,,,0.6,0.2,,1.0,,,中债综合全价(总值)指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,20210201,20210201,O
6325,011308.OF,富国生物医药科技C,富国基金,中国建设银行,混合型,20210118,,,,,,1.5,0.25,,1.0,,,中证医药卫生指数收益率*40%+恒生医疗保健指数收益率(经汇率调整后)*40%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20210118,20210118,O
6326,010477.OF,景顺长城景泰益利,景顺长城基金,华夏银行,债券型,20210118,,,20201203,,2.2401,0.3,0.1,,1.0,0.0001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20210125,20210125,O
6327,011309.OF,富国消费主题C,富国基金,交通银行,混合型,20210118,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*80%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20210118,20210118,O
6328,011307.OF,富国天益价值C,富国基金,交通银行,混合型,20210118,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*95%+中债综合全价指数收益率*5%,L,价值型,契约型开放式,,20210118,20210118,O
6329,011306.OF,富国低碳新经济C,富国基金,中国建设银行,混合型,20210118,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*60%+中债综合全价指数收益率*40%,L,混合型,契约型开放式,,20210118,20210118,O
6330,011242.OF,东吴进取策略C,东吴基金,中国农业银行,混合型,20210115,,,,,,1.5,0.25,,1.0,,,沪深300指数*65%+中证全债指数*35%,L,灵活配置型,契约型开放式,,20210115,20210115,O
6331,010681.OF,华夏新兴成长C,华夏基金,招商银行,股票型,20210115,,,20210113,,9.0321,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通综合指数收益率*25%+银行活期存款利率(税后)*10%,L,股票型,契约型开放式,,20210401,20210401,O
6332,010440.OF,诺德安鸿纯债,诺德基金,上海银行,债券型,20210115,,,20210111,,2.05,0.2,0.05,,1.0,0.0001,,中债综合(全价)指数收益率,L,债券型,契约型开放式,,20210118,20210118,O
6333,010680.OF,华夏新兴成长A,华夏基金,招商银行,股票型,20210115,,,20210113,,80.0711,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通综合指数收益率*25%+银行活期存款利率(税后)*10%,L,股票型,契约型开放式,,20210401,20210401,O
6334,011127.OF,富国清洁能源产业C,富国基金,招商银行,混合型,20210115,,,,,,1.5,0.25,,1.0,,,中证新能源指数收益率*80%+恒生中国企业指数收益率(经汇率调整后)*10%+中债综合全价指数收益率*10%,L,灵活配置型,契约型开放式,,20210115,20210115,O
6335,010289.OF,景顺长城产业趋势,景顺长城基金,中国工商银行,混合型,20210115,,,20210113,,79.106,1.5,0.25,,1.0,0.0001,,中证800指数收益率*50%+恒生指数收益率(使用估值汇率折算)*30%+中国债券总指数收益率*20%,L,混合型,契约型开放式,,20210414,20210414,O
6336,011148.OF,南方军工改革C,南方基金,中国农业银行,混合型,20210115,,,,,,1.5,0.25,,1.0,,,中证军工指数收益率*80%+上证国债指数收益率*20%,L,灵活配置型,契约型开放式,,20210115,20210115,O
6337,855001.OF,海通海升六个月持有C,海通资管,中国农业银行,债券型,20210114,,,,,,0.5,0.1,,1.0,,,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20210127,20210127,O
6338,010887.OF,南方消费升级A,南方基金,华夏银行,混合型,20210114,,,20210112,,31.9024,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20210413,20210413,O
6339,011292.OF,招商添裕纯债D,招商基金,交通银行,债券型,20210114,,,,,,0.3,0.1,,1.0,,,中证全债指数收益率,L,债券型,契约型开放式,,20210114,20210114,O
6340,159837.SZ,生物科技ETF,易方达基金,中国建设银行,股票型,20210114,,20210127,20201228,,28.1415,0.15,0.05,,1.0,0.1,,中证生物科技主题指数收益率,L,被动指数型,契约型开放式,,20210127,20210127,E
6341,010923.OF,永赢鑫欣,永赢基金,中信银行,混合型,20210114,,,20201207,,2.5105,0.4,0.05,,1.0,0.001,,中债-综合指数(全价)收益率*70%+沪深300指数收益率*25%+恒生指数收益率(按估值汇率折算)*5%,L,混合型,契约型开放式,,20210115,20210115,O
6342,011056.OF,博时汇兴回报一年持有,博时基金,兴业银行,混合型,20210114,,,20210111,,147.1915,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中债综合财富(总值)指数收益率*40%+中证港股通综合指数收益率*10%,L,灵活配置型,契约型开放式,,20210414,20220114,O
6343,010888.OF,南方消费升级C,南方基金,华夏银行,混合型,20210114,,,20210112,,11.7062,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20210413,20210413,O
6344,850003.OF,海通海升六个月持有A,海通资管,中国农业银行,债券型,20210114,,,20210114,,,0.5,0.1,,1.0,,,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20210127,20210127,O
6345,010242.OF,平安稳健增长A,平安基金,平安银行,混合型,20210113,,,20201228,,53.0724,1.0,0.15,,1.0,0.01,,中证全债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210412,20210412,O
6346,011006.OF,工银瑞信圆丰三年持有,工银瑞信基金,招商银行,混合型,20210113,,,20210111,,79.1555,1.5,0.25,,1.0,0.0001,,中证700指数收益率*65%+中债综合财富(总值)指数收益率*30%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210413,,O
6347,010391.OF,易方达战略新兴产业A,易方达基金,中国银行,股票型,20210113,,,20210111,,93.0798,1.5,0.25,,1.0,0.0001,,中国战略新兴产业成份指数收益率*60%+中证港股通综合指数收益率*25%+中债总指数收益率*15%,L,股票型,契约型开放式,,20210324,20210324,O
